end,use_time,slon,slat,match_name,lon,lat
广州,01小时40分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
湛江,02小时05分钟,114.310176,30.590076,广东省湛江市,110.35304514467728,21.272492848687143
青岛,02小时05分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
北京首都,04小时00分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
成都,02小时05分钟,114.310176,30.590076,四川省成都市,104.06379643064969,30.575415504297645
北京首都,02小时00分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
深圳,01小时55分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
昆明,02小时30分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
大连,04小时15分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
珠海,02小时05分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
重庆,01小时35分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
北京大兴,02小时05分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
西安,01小时35分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
天津,01小时50分钟,114.310176,30.590076,天津市,117.19521192889685,39.08431230999273
北海,02小时15分钟,114.310176,30.590076,广西壮族自治区北海市,109.11595508764754,21.483692657825497
榆林,02小时00分钟,114.310176,30.590076,陕西省榆林市,109.72852054867005,38.285242210082714
海口,02小时25分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
济南,01小时40分钟,114.310176,30.590076,山东省济南市,117.11400007864786,36.65163870613015
长春,03小时00分钟,114.310176,30.590076,吉林省长春市,125.31713633530781,43.81454427972397
舟山,01小时35分钟,114.310176,30.590076,浙江省舟山市,122.20323721057505,29.98798104178166
上海浦东,01小时40分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
西安,01小时30分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
上海虹桥,01小时35分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
柳州,01小时45分钟,114.310176,30.590076,广西壮族自治区柳州市,109.42347095163684,24.32914249131936
广州,01小时50分钟,114.310176,30.590076,广东省广州市,113.25916927705671,23.13273721925823
库尔勒,06小时10分钟,114.310176,30.590076,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市,86.1720613316129,41.72444122936953
成都天府,02小时05分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
深圳,02小时00分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
包头,02小时15分钟,114.310176,30.590076,内蒙古自治区包头市,109.94746389588421,40.62020975291547
沈阳,04小时15分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
博乐,07小时10分钟,114.310176,30.590076,新疆维吾尔自治区博尔塔拉蒙古自治州博乐市,82.04818553944119,44.8528932218732
成都天府,01小时55分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
太原,01小时50分钟,114.310176,30.590076,山西省太原市,112.54335856406222,37.86992737747488
北京大兴,01小时55分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
青岛,01小时50分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
贵阳,03小时10分钟,114.310176,30.590076,贵州省贵阳市,106.62463609556339,26.65036573297856
东营,01小时40分钟,114.310176,30.590076,山东省东营市,118.66896617868011,37.433314191245856
重庆,01小时40分钟,114.310176,30.590076,重庆市,106.54676332042845,29.566553244633337
昆明,02小时25分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
西安,01小时25分钟,114.310176,30.590076,陕西省西安市,108.93498964565686,34.344761972504
